Freq.	V(c)/I(R1)
1.92121212121212e+007	-6.12327414898052e+002,-1.50982968315392e+003
1.92525252525253e+007	-6.72835934606920e+002,-1.56586076959111e+003
1.92929292929293e+007	-7.41584098505523e+002,-1.62421889472114e+003
1.93333333333333e+007	-8.19936033222821e+002,-1.68459775238523e+003
1.93737373737374e+007	-9.09490952159558e+002,-1.74647455186527e+003
1.94141414141414e+007	-1.01210906285602e+003,-1.80901755400224e+003
1.94545454545455e+007	-1.12992622869230e+003,-1.87095891590178e+003
1.94949494949495e+007	-1.26534364840333e+003,-1.93042275088461e+003
1.95353535353535e+007	-1.42096920202945e+003,-1.98469860992264e+003
1.95757575757576e+007	-1.59947273596818e+003,-2.02995525545291e+003
1.96161616161616e+007	-1.80329808463779e+003,-2.06090371807666e+003
1.96565656565657e+007	-2.03415292536425e+003,-2.07045071170670e+003
1.96969696969697e+007	-2.29218469217128e+003,-2.04944512538045e+003
1.97373737373737e+007	-2.57477408290314e+003,-1.98672066778255e+003
1.97777777777778e+007	-2.87498812931245e+003,-1.86976548580761e+003
1.98181818181818e+007	-3.17999653045014e+003,-1.68643558963971e+003
1.98585858585859e+007	-3.47018100347521e+003,-1.42800490310753e+003
1.98989898989899e+007	-3.72007508755787e+003,-1.09327777353448e+003
1.99393939393939e+007	-3.90216062682679e+003,-6.92434617497749e+002
1.99797979797980e+007	-3.99334841263489e+003,-2.48321153076161e+002
2.00202020202020e+007	-3.98191050179777e+003,2.06751939444079e+002
2.00606060606061e+007	-3.87135066510915e+003,6.38319992527397e+002
2.01010101010101e+007	-3.67895785499321e+003,1.01800217593544e+003
2.01414141414141e+007	-3.42998830000598e+003,1.32882604154266e+003
2.01818181818182e+007	-3.15074355145576e+003,1.56594932338992e+003
2.02222222222222e+007	-2.86349972781132e+003,1.73386974649192e+003
2.02626262626263e+007	-2.58431239276263e+003,1.84240609106162e+003
2.03030303030303e+007	-2.32309814133926e+003,1.90321502715867e+003
2.03434343434343e+007	-2.08486978492510e+003,1.92753036108480e+003
2.03838383838384e+007	-1.87123503265379e+003,1.92504623550009e+003
2.04242424242424e+007	-1.68169472748670e+003,1.90357998157430e+003
2.04646464646465e+007	-1.51459709074350e+003,1.86915980511194e+003
2.05050505050505e+007	-1.36776834089721e+003,1.82629188673442e+003
2.05454545454545e+007	-1.23889568301231e+003,1.77826815957689e+003
2.05858585858586e+007	-1.12574096524510e+003,1.72744944772199e+003
2.06262626262626e+007	-1.02624695121203e+003,1.67550065466489e+003
2.06666666666667e+007	-9.38579509804837e+002,1.62357544557503e+003
2.07070707070707e+007	-8.61133823301142e+002,1.57245646381274e+003
2.07474747474747e+007	-7.92521919396637e+002,1.52265956807428e+003
2.07878787878788e+007	-7.31551727989661e+002,1.47451028655230e+003
2.08282828282828e+007	-6.77203411988718e+002,1.42819940643139e+003
2.08686868686869e+007	-6.28606032328291e+002,1.38382315989697e+003
2.09090909090909e+007	-5.85016034024974e+002,1.34141215762418e+003
2.09494949494949e+007	-5.45798150108593e+002,1.30095215440822e+003
2.09898989898990e+007	-5.10408838131184e+002,1.26239890800027e+003
2.10303030303030e+007	-4.78382119567779e+002,1.22568877498314e+003
2.10707070707071e+007	-4.49317583064648e+002,1.19074623324174e+003
2.11111111111111e+007	-4.22870277288419e+002,1.15748918985251e+003
2.11515151515151e+007	-3.98742222643974e+002,1.12583269394464e+003
2.11919191919192e+007	-3.76675293141493e+002,1.09569150155234e+003
2.12323232323232e+007	-3.56445248973555e+002,1.06698181522778e+003
2.12727272727273e+007	-3.37856730917088e+002,1.03962243170310e+003
2.13131313131313e+007	-3.20739056507679e+002,1.01353546638671e+003
2.13535353535354e+007	-3.04942683734241e+002,9.88646776913671e+002
2.13939393939394e+007	-2.90336230373329e+002,9.64886174292837e+002
2.14343434343434e+007	-2.76803956099387e+002,9.42187485791036e+002
2.14747474747475e+007	-2.64243630466120e+002,9.20488515979005e+002
2.15151515151515e+007	-2.52564723134333e+002,8.99730939480511e+002
2.15555555555556e+007	-2.41686863712958e+002,8.79860149583313e+002
2.15959595959596e+007	-2.31538527646483e+002,8.60825080029643e+002
2.16363636363636e+007	-2.22055912046868e+002,8.42578012313439e+002
2.16767676767677e+007	-2.13181971509444e+002,8.25074377171048e+002
2.17171717171717e+007	-2.04865589005125e+002,8.08272556298625e+002
2.17575757575758e+007	-1.97060861100973e+002,7.92133688398800e+002
2.17979797979798e+007	-1.89726480189465e+002,7.76621482258674e+002
2.18383838383838e+007	-1.82825199236300e+002,7.61702038549866e+002
2.18787878787879e+007	-1.76323366895788e+002,7.47343681315834e+002
2.19191919191919e+007	-1.70190522780423e+002,7.33516799596150e+002
2.19595959595960e+007	-1.64399044279364e+002,7.20193699275766e+002
2.20000000000000e+007	-1.58923837658031e+002,7.07348464998527e+002
